casual,1,353446
member,1,407530
casual,2,243554
member,2,524904
casual,3,223755
member,3,560057
casual,4,258682
member,4,598842
casual,5,254326
member,5,559474
casual,6,302982
member,6,514881
casual,7,425820
member,7,467974
